,GDP,CPI_U,CPIF_U,CPIE_U,CPIXFE_U,S,RS,GDP_RW_U,CPI_RW,RS_RW,D4L_CPI_TAR,WOIL_U,WFOOD_U,S_CROSS,w_CPIF,w_CPIE
1996Q1,104843.082485348,24.9917002764596,20.7156822517526,15.2076600071813,27.5227867541359,1028.60333333333,36.5,10824.674,155.5,5.36333333333333,17,17.8828125,151.6,1.28,22.80300068,10.50049308
1996Q2,105408.126186123,26.1812799442102,21.701727784376,15.9315292493092,28.832843579417,1063.04333333333,36.5,11005.217,156.7,5.24333333333333,17,19.0509836065574,152.6,1.26,22.80300068,10.50049308
1996Q3,104787.7543665,27.1813690454165,22.5307041171125,16.5400918864963,29.9342187865117,1049.92666666667,36.5,11103.935,157.7,5.30666666666667,17,20.7372307692308,154.6,1.26,22.80300068,10.50049308
1996Q4,105210.643309036,27.9182768042001,23.1415287833394,16.9885064612657,30.745758412792,1004.91666666667,32.5,11219.238,159.1,5.28,17,23.52265625,156.3,1.25,22.80300068,10.50049308
1997Q1,105677.806443662,29.7184371863713,24.6336861822652,18.0839192082026,32.7282337855626,1054.48666666667,28.5,11291.665,159.8,5.27666666666667,18,21.2768852459016,156.6,1.16,22.80300068,10.50049308
1997Q2,109404.5059342,31.0659256595756,25.7506227147944,18.903877287781,34.2121919593323,1072.73333333333,27.5,11479.33,160.2,5.52333333333333,18,18.4730158730159,156.6,1.13,22.80300068,10.50049308
1997Q3,109219.867210529,32.0870692681756,26.5970511808517,19.5252517699615,35.3367540128922,1152.53,27,11622.911,161.2,5.53333333333333,18,18.6109230769231,157.9,1.11,22.80300068,10.50049308
1997Q4,110345.518067726,32.8555587880499,27.2340540470597,19.9928841122211,36.1830739088703,1284.71666666667,27,11722.722,161.8,5.50666666666667,18,19.023125,158.7,1.1,22.80300068,10.50049308
1998Q1,111630.157133238,35.4452631974893,29.3806664455143,21.5687410464109,39.035056024084,1342.12666666667,30,11839.876,162,5.52,16,14.6768253968254,159.7,1.08,22.80300068,10.50049308
1998Q2,111844.128600449,37.4980776683864,31.0822494442892,22.8178959332687,41.2957735544364,1377.84666666667,32,11949.492,162.8,5.5,16,13.9675409836066,160.1,1.1,22.80300068,10.50049308
1998Q3,108189.067904361,37.7928407718998,31.32657931078,22.9972617631765,41.6203894049485,1427.50666666667,32,12099.191,163.5,5.53333333333333,16,13.0016923076923,161.1,1.17,22.80300068,10.50049308
1998Q4,105516.001896924,38.340257964139,31.78033477712,23.3303697330052,42.2232474130425,1558.21666666667,28,12294.737,164.4,4.86,16,11.75421875,162.3,1.17,22.80300068,10.50049308
1999Q1,105028.286481842,40.2351636295825,33.3510267759892,24.4834357824124,44.3100635949062,1562.41,24.2777777777778,12410.778,164.8,4.73333333333333,15,11.5631746031746,163.3,1.07,22.80300068,10.50049308
1999Q2,104217.328517795,40.8413869383785,32.97987635626,25.8901265135667,45.1060656451831,1636.66333333333,18.7142857142857,12514.408,166,4.74666666666667,15,15.8477049180328,163.6,1.03,22.80300068,10.50049308
1999Q3,104739.664934727,41.3021901303422,33.1334774983687,26.7424964156236,45.5459598044076,1890.4,16.7826086956522,12679.977,167.8,5.09333333333333,15,20.6898461538462,164.6,1.07,22.80300068,10.50049308
1999Q4,104776.144531877,41.8526091841813,33.712159445582,27.3441687831872,46.0255721603351,1937.27,13.9891304347826,12888.281,168.8,5.30666666666667,15,23.8650793650794,165.4,1,22.80300068,10.50049308
2000Q1,107636.232396217,43.9519974133695,36.6974987264143,29.3272124082108,47.8211622886372,1943.48666666667,12,12935.252,171,5.67666666666667,10,26.55140625,166.5,0.96,22.80300068,10.50049308
2000Q2,107416.710318398,44.5817134171129,36.8193046976343,30.7667675658705,48.4307676809651,2054.21,12,13170.749,172.2,6.27333333333333,10,27.0206557377049,167.3,0.96,22.80300068,10.50049308
2000Q3,107717.50075602,44.922587332293,36.2234115325616,31.7469617668835,48.930123663923,2187.49333333333,12,13183.89,173.6,6.52,10,30.40453125,168.9,0.88,22.80300068,10.50049308
2000Q4,108237.204412852,45.3474204912874,36.4602980935,32.2918139318431,49.3601878792177,2166.48333333333,12,13262.25,174.6,6.47333333333333,10,30.1004761904762,170,0.93,22.80300068,10.50049308
2001Q1,108920.341426734,47.1805577865941,39.4578883500761,34.7080139792579,50.6561838375924,2254.53333333333,11.8888888888889,13219.251,176.1,5.59333333333333,8,26.2659375,171.7,0.88,22.80300068,10.50049308
2001Q2,108935.267002661,47.9110087583182,40.1758676533164,35.595277171851,51.3343175570305,2325.23,11.5,13301.394,177.7,4.32666666666667,8,27.654262295082,173,0.85,22.80300068,10.50049308
2001Q3,109519.881295989,48.2485798433898,40.4856661197636,36.1012415317561,51.6348612968625,2307.13666666667,10.5923913043478,13248.142,178.1,3.49666666666667,8,25.68875,174.1,0.91,22.80300068,10.50049308
2001Q4,110865.477549856,48.5539850697399,40.7329810189459,36.4112670213063,51.9483238674592,2312.67333333333,8.98369565217391,13284.881,177.4,2.13333333333333,8,19.97859375,174.7,0.88,22.80300068,10.50049308
2002Q1,109782.983738852,49.8332203642959,42.4111183553719,37.5534161519768,53.1121606931354,2281.33,7.99444444444444,13394.91,178.5,1.73333333333333,6,21.4214516129032,176.1,0.87,22.80300068,10.50049308
2002Q2,113297.336203273,50.7225308267543,44.2471513594045,38.2273995428907,53.7033565664085,2312.53333333333,6.09615384615385,13477.356,179.6,1.75,6,25.4711475409836,175.8,1,22.80300068,10.50049308
