"Variables ->","GDP","CPI_U","CPIF_U","CPIE_U","CPIXFE_U","S","RS","GDP_RW_U","CPI_RW","RS_RW","D4L_CPI_TAR","WOIL_U","WFOOD_U","S_CROSS","w_CPIF","w_CPIE","CPI","CPIF","CPIE","CPIXFE","GDP_RW","WOIL","WFOOD","L_GDP","L_CPI_U","L_CPIF_U","L_CPIE_U","L_CPIXFE_U","L_S","L_GDP_RW_U","L_CPI_RW","L_WOIL_U","L_WFOOD_U","L_S_CROSS","L_CPI","L_CPIF","L_CPIE","L_CPIXFE","L_GDP_RW","L_WOIL","L_WFOOD","L_Z","L_RWFOOD","L_RWOIL","L_RPF","L_RPE","L_RPXFE","DLA_GDP","D4L_GDP","DLA_CPI_U","D4L_CPI_U","DLA_CPIF_U","D4L_CPIF_U","DLA_CPIE_U","D4L_CPIE_U","DLA_CPIXFE_U","D4L_CPIXFE_U","DLA_S","D4L_S","DLA_GDP_RW_U","D4L_GDP_RW_U","DLA_CPI_RW","D4L_CPI_RW","DLA_WOIL_U","D4L_WOIL_U","DLA_WFOOD_U","D4L_WFOOD_U","DLA_S_CROSS","D4L_S_CROSS","DLA_CPI","D4L_CPI","DLA_CPIF","D4L_CPIF","DLA_CPIE","D4L_CPIE","DLA_CPIXFE","D4L_CPIXFE","DLA_GDP_RW","D4L_GDP_RW","DLA_WOIL","D4L_WOIL","DLA_WFOOD","D4L_WFOOD","DLA_Z","D4L_Z","DLA_RWFOOD","D4L_RWFOOD","DLA_RWOIL","D4L_RWOIL","DLA_RPF","D4L_RPF","DLA_RPE","D4L_RPE","DLA_RPXFE","D4L_RPXFE","w_CPIXFE","wt_CPIF","wt_CPIE","wt_CPIXFE","wt4_CPIF","wt4_CPIE","wt4_CPIXFE","RR","RR_RW","RR_BAR","RR_GAP","L_Z_BAR","L_Z_GAP","L_RWFOOD_BAR","L_RWFOOD_GAP","L_RWOIL_BAR","L_RWOIL_GAP","L_RPF_BAR","L_RPF_GAP","L_RPXFE_BAR","L_RPXFE_GAP","L_RPE_BAR","L_RPE_GAP","RR_RW_BAR","RR_RW_GAP","L_GDP_BAR","L_GDP_GAP","L_GDP_RW_BAR","L_GDP_RW_GAP","L_GDP_BAR_HP","L_GDP_GAP_HP","DLA_GDP_BAR","D4L_GDP_BAR","DLA_GDP_RW_BAR","D4L_GDP_RW_BAR","DLA_Z_BAR","D4L_Z_BAR","DLA_RWOIL_BAR","D4L_RWOIL_BAR","DLA_RWFOOD_BAR","D4L_RWFOOD_BAR","PREM","SHKN_PREM","L_S_TAR","DLA_S_TAR","CR_PREM","DLA_RPXFE_BAR","DLA_RPF_BAR"
"Comments ->","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Class[Size] ->","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","double[1-by-1]","double[1-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","double[1-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]","tseries[104-by-1]"
"1996Q1",1.04843082e+05,2.49917003e+01,2.07156823e+01,1.52076600e+01,2.75227868e+01,1.02860333e+03,3.65000000e+01,1.08246740e+04,1.55500000e+02,5.36333333e+00,1.70000000e+01,1.78828125e+01,1.51600000e+02,1.28000000e+00,1.68773217e+01,1.74008949e+01,2.47964384e+01,2.04878373e+01,1.51198291e+01,2.73166816e+01,1.08423688e+04,1.88198031e+01,1.51429504e+02,1.15602201e+03,3.21854378e+02,3.03089101e+02,2.72179925e+02,3.31501427e+02,6.93595717e+02,9.28958344e+02,5.04664573e+02,2.88384006e+02,5.02124547e+02,2.46860078e+01,3.21070003e+02,3.01983141e+02,2.71600707e+02,3.30749756e+02,9.29121678e+02,2.93490967e+02,5.02012020e+02,8.77190288e+02,-2.73385612e+01,-2.35859614e+02,-1.90868623e+01,-4.94692961e+01,9.67975320e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.00681443e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.64227311e+02,1.29629767e+01,-2.42343273e+01,-3.10423388e+00,-2.38894773e+02,3.03515936e+00,-1.92006260e+01,1.13763702e-01,1.02237630e+01,-5.44009825e-01,-5.33998758e+01,3.93057963e+00,NaN,NaN,1.15761644e+03,-1.42367974e+00,9.29973148e+02,-8.51470116e-01,1.15695948e+03,-9.37476898e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000000e+00,6.86542125e+02,NaN,NaN,NaN,NaN
"1996Q2",1.05408126e+05,2.61812799e+01,2.17017278e+01,1.59315292e+01,2.88328436e+01,1.06304333e+03,3.65000000e+01,1.10052170e+04,1.56700000e+02,5.24333333e+00,1.70000000e+01,1.90509836e+01,1.52600000e+02,1.26000000e+00,NaN,NaN,2.59218945e+01,2.14403472e+01,1.57326159e+01,2.85584915e+01,1.10057114e+04,1.94825159e+01,1.52928611e+02,1.15655950e+03,3.26504465e+02,3.07739188e+02,2.76830012e+02,3.36151514e+02,6.96889114e+02,9.30612471e+02,5.05433315e+02,2.94711873e+02,5.02782012e+02,2.31111721e+01,3.25508796e+02,3.06527453e+02,2.75573601e+02,3.35195432e+02,9.30616964e+02,2.96951744e+02,5.02997122e+02,8.76813633e+02,-2.55473650e+01,-2.31592743e+02,-1.89813431e+01,-4.99351955e+01,9.68663554e+00,2.14998074e+00,NaN,1.86003475e+01,NaN,1.86003475e+01,NaN,1.86003475e+01,NaN,1.86003475e+01,NaN,1.31735875e+01,NaN,6.61651005e+00,NaN,3.07496710e+00,NaN,2.53114708e+01,NaN,2.62985826e+00,NaN,-6.29934279e+00,NaN,1.77551725e+01,NaN,1.81772491e+01,NaN,1.58915751e+01,NaN,1.77827019e+01,NaN,5.98114312e+00,NaN,1.38431077e+01,NaN,3.94040894e+00,NaN,-1.50661793e+00,NaN,7.16478463e+00,NaN,1.70674834e+01,NaN,4.22076632e-01,NaN,-1.86359736e+00,NaN,2.75293763e-02,NaN,NaN,1.88407771e+01,6.40276069e+00,-3.55867338e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.65757532e+02,1.10561008e+01,-2.25479776e+01,-2.99938741e+00,-2.37892819e+02,6.30007569e+00,-1.92382086e+01,2.56865520e-01,1.01506101e+01,-4.63974526e-01,-5.27213110e+01,2.78611551e+00,NaN,NaN,1.15772095e+03,-1.58144663e+00,9.31008075e+02,-3.91111139e-01,1.15706623e+03,-5.06732878e-01,4.18020710e-01,NaN,4.13970721e+00,NaN,6.12088557e+00,NaN,4.00781805e+00,NaN,6.74539875e+00,NaN,NaN,0.00000000e+00,6.90851294e+02,1.72366740e+01,NaN,-2.92611820e-01,-1.50330642e-01
"1996Q3",1.04787754e+05,2.71813690e+01,2.25307041e+01,1.65400919e+01,2.99342188e+01,1.04992667e+03,3.65000000e+01,1.11039350e+04,1.57700000e+02,5.30666667e+00,1.70000000e+01,2.07372308e+01,1.54600000e+02,1.26000000e+00,NaN,NaN,2.71800271e+01,2.26342957e+01,1.65317752e+01,2.99539671e+01,1.11024994e+04,2.02370513e+01,1.54553634e+02,1.15596922e+03,3.30253178e+02,3.11487901e+02,2.80578724e+02,3.39900227e+02,6.95647560e+02,9.31505483e+02,5.06069449e+02,3.03193067e+02,5.04084114e+02,2.31111721e+01,3.30248241e+02,3.11946626e+02,2.80528430e+02,3.39966177e+02,9.31492553e+02,3.00751515e+02,5.04054118e+02,8.71468769e+02,-2.51265031e+01,-2.28429107e+02,-1.83016144e+01,-4.97198110e+01,9.71793675e+00,-2.36112571e+00,NaN,1.49948510e+01,NaN,1.49948510e+01,NaN,1.49948510e+01,NaN,1.49948510e+01,NaN,-4.96621728e+00,NaN,3.57204676e+00,NaN,2.54453784e+00,NaN,3.39247758e+01,NaN,5.20840692e+00,NaN,0.00000000e+00,NaN,1.89577787e+01,NaN,2.16766933e+01,NaN,1.98193164e+01,NaN,1.90829835e+01,NaN,3.50235913e+00,NaN,1.51990815e+01,NaN,4.22798556e+00,NaN,-2.13794581e+01,NaN,1.68344771e+00,NaN,1.26545437e+01,NaN,2.71891467e+00,NaN,8.61537712e-01,NaN,1.25204830e-01,NaN,NaN,1.88606682e+01,6.37299965e+00,-3.55891831e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.67295856e+02,4.17291304e+00,-2.08635681e+01,-4.26293502e+00,-2.36888967e+02,8.45986013e+00,-1.92757202e+01,9.74105746e-01,1.00771171e+01,-3.59180357e-01,-5.20402896e+01,2.32047854e+00,NaN,NaN,1.15779130e+03,-1.62454080e+00,9.32042469e+02,-5.49915990e-01,1.15717240e+03,-1.20317955e+00,2.81414786e-01,NaN,4.13757853e+00,NaN,6.15329301e+00,NaN,4.01540595e+00,NaN,6.73763817e+00,NaN,NaN,0.00000000e+00,6.95164871e+02,1.72543080e+01,NaN,-2.93971845e-01,-1.50046233e-01
"1996Q4",1.05210643e+05,2.79182768e+01,2.31415288e+01,1.69885065e+01,3.07457584e+01,1.00491667e+03,3.25000000e+01,1.12192380e+04,1.59100000e+02,5.28000000e+00,1.70000000e+01,2.35226563e+01,1.56300000e+02,1.25000000e+00,NaN,NaN,2.84327825e+01,2.36027637e+01,1.73146466e+01,3.12617566e+01,1.12020295e+04,2.24759101e+01,1.56188738e+02,1.15637197e+03,3.32928156e+02,3.14162879e+02,2.83253702e+02,3.42575205e+02,6.91265990e+02,9.32538526e+02,5.06953294e+02,3.15796405e+02,5.05177724e+02,2.23143551e+01,3.34754279e+02,3.16136381e+02,2.85155277e+02,3.44239552e+02,9.32385025e+02,3.11244407e+02,5.05106513e+02,8.63465004e+02,-2.41611353e+01,-2.18023241e+02,-1.86178984e+01,-4.95990028e+01,9.48527215e+00,1.61101997e+00,NaN,1.06999120e+01,NaN,1.06999120e+01,NaN,1.06999120e+01,NaN,1.06999120e+01,NaN,-1.75262805e+01,NaN,4.13217334e+00,NaN,3.53537655e+00,NaN,5.04133519e+01,NaN,4.37444051e+00,NaN,-3.18726786e+00,NaN,1.80241545e+01,NaN,1.67590185e+01,NaN,1.85073875e+01,NaN,1.70934961e+01,NaN,3.56988614e+00,NaN,4.19715707e+01,NaN,4.20957971e+00,NaN,-3.20150584e+01,NaN,3.86147102e+00,NaN,4.16234620e+01,NaN,-1.26513600e+00,NaN,4.83233016e-01,NaN,-9.30658386e-01,NaN,NaN,1.89893062e+01,6.38674089e+00,-3.56003247e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.68857293e+02,-5.39228859e+00,-1.91849134e+01,-4.97622190e+00,-2.35877384e+02,1.78541426e+01,-1.93129290e+01,6.95030559e-01,1.00026542e+01,-5.17381996e-01,-5.13526136e+01,1.75361085e+00,NaN,NaN,1.15787735e+03,-1.35580205e+00,9.33075555e+02,-6.90530307e-01,1.15727708e+03,-9.05101243e-01,3.44202529e-01,NaN,4.13234341e+00,NaN,6.24574815e+00,NaN,4.04633194e+00,NaN,6.71461853e+00,NaN,NaN,0.00000000e+00,6.99491038e+02,1.73046705e+01,NaN,-2.97851830e-01,-1.48835250e-01
"1997Q1",1.05677806e+05,2.97184372e+01,2.46336862e+01,1.80839192e+01,3.27282338e+01,1.05448667e+03,2.85000000e+01,1.12916650e+04,1.59800000e+02,5.27666667e+00,1.80000000e+01,2.12768852e+01,1.56600000e+02,1.16000000e+00,NaN,NaN,2.94757022e+01,2.43318447e+01,1.79823843e+01,3.24795184e+01,1.13102391e+04,2.23922759e+01,1.56428419e+02,1.15681502e+03,3.39176763e+02,3.20411486e+02,2.89502310e+02,3.48823812e+02,6.96080936e+02,9.33182012e+02,5.07392303e+02,3.05762128e+02,5.05369478e+02,1.48420005e+01,3.38356627e+02,3.19178597e+02,2.88939263e+02,3.48060969e+02,9.33346371e+02,3.10871607e+02,5.05259852e+02,8.65116612e+02,-1.69744519e+01,-2.11362697e+02,-1.91780297e+01,-4.94173642e+01,9.70434177e+00,1.77217443e+00,7.93012358e-01,2.49944308e+01,1.73223853e+01,2.49944308e+01,1.73223853e+01,2.49944308e+01,1.73223853e+01,2.49944308e+01,1.73223853e+01,1.92597829e+01,2.48521816e+00,2.57394383e+00,4.22366850e+00,1.75603920e+00,2.72773017e+00,-4.01371075e+01,1.73781228e+01,7.67018452e-01,3.24493103e+00,-2.98894185e+01,-9.84400728e+00,1.44093907e+01,1.72866241e+01,1.21688655e+01,1.71954566e+01,1.51359450e+01,1.73385560e+01,1.52856692e+01,1.73112127e+01,3.84538484e+00,4.22469331e+00,-1.49120019e+00,1.73806399e+01,6.13354413e-01,3.24783215e+00,6.60643139e+00,-1.20736758e+01,2.87467337e+01,1.03641093e+01,2.66421791e+01,2.44969170e+01,-2.24052521e+00,-9.11674770e-02,7.26554252e-01,5.19319057e-02,8.76278478e-01,2.45885745e-02,NaN,1.89293410e+01,6.39446126e+00,-3.55175916e+01,1.88407771e+01,6.40276069e+00,-3.55867338e+01,1.12133759e+01,2.54893650e+00,1.30787288e+01,-1.86535287e+00,8.70459463e+02,-5.34285156e+00,-1.75184928e+01,5.44040900e-01,-2.34846948e+02,2.34842510e+01,-1.93489946e+01,1.70964863e-01,9.92636672e+00,-2.22024944e-01,-5.06526349e+01,1.23527069e+00,3.97860556e+00,-1.42966906e+00,1.15798944e+03,-5.67097438e-01,9.34106212e+02,-7.59840857e-01,1.15737861e+03,-5.63591150e-01,4.48350771e-01,3.72997199e-01,4.12262703e+00,4.13306405e+00,6.40868326e+00,6.23215250e+00,4.12174566e+00,4.04782540e+00,6.66568250e+00,6.71583449e+00,2.69143996e+00,0.00000000e+00,7.03838280e+02,1.73889682e+01,0.00000000e+00,-3.05149728e-01,-1.44262431e-01
"1997Q2",1.09404506e+05,3.10659257e+01,2.57506227e+01,1.89038773e+01,3.42121920e+01,1.07273333e+03,2.75000000e+01,1.14793300e+04,1.60200000e+02,5.52333333e+00,1.80000000e+01,1.84730159e+01,1.56600000e+02,1.13000000e+00,NaN,NaN,3.07607805e+01,2.54424825e+01,1.86680993e+01,3.38889886e+01,1.14785287e+04,1.88783880e+01,1.56923015e+02,1.16028074e+03,3.43611158e+02,3.24845881e+02,2.93936705e+02,3.53258207e+02,6.97796519e+02,9.34830331e+02,5.07642303e+02,2.91631107e+02,5.05369478e+02,1.22217633e+01,3.42624052e+02,3.23642032e+02,2.92681614e+02,3.52309014e+02,9.34823350e+02,2.93801777e+02,5.05575534e+02,8.62814770e+02,-1.42885331e+01,-2.26062289e+02,-1.89820203e+01,-4.99424373e+01,9.68496239e+00,1.38628694e+01,3.72123452e+00,1.77375787e+01,1.71066931e+01,1.77375787e+01,1.71066931e+01,1.77375787e+01,1.71066931e+01,1.77375787e+01,1.71066931e+01,6.86233270e+00,9.07404472e-01,6.59327356e+00,4.21785937e+00,1.00000052e+00,2.20898853e+00,-5.65240872e+01,-3.08076673e+00,0.00000000e+00,2.58746647e+00,-1.04809490e+01,-1.08894088e+01,1.70696993e+01,1.71152558e+01,1.78537372e+01,1.71145786e+01,1.49694068e+01,1.71080139e+01,1.69921817e+01,1.71135826e+01,5.90791584e+00,4.20638649e+00,-6.82793189e+01,-3.14996671e+00,1.26272698e+00,2.57841167e+00,-9.20736603e+00,-1.39988628e+01,1.07436754e+01,1.12588320e+01,-5.87983705e+01,5.53045359e+00,7.84037911e-01,-6.77157338e-04,-2.10029246e+00,-7.24187049e-03,-7.75175451e-02,-1.67315588e-03,NaN,1.88236082e+01,6.40608663e+00,-3.55954851e+01,1.88606682e+01,6.37299965e+00,-3.55891831e+01,1.03847442e+01,3.31434481e+00,1.25492689e+01,-2.16452463e+00,8.72116618e+02,-9.30184747e+00,-1.58738954e+01,1.58536237e+00,-2.33775377e+02,7.71308777e+00,-1.93826422e+01,4.00621891e-01,9.84707697e+00,-1.62114583e-01,-4.99336092e+01,-8.82816592e-03,3.85356226e+00,-5.39217458e-01,1.15810799e+03,7.83180693e-01,9.35132888e+02,-3.09537670e-01,1.15747478e+03,2.80595616e+00,4.74198827e-01,3.87041728e-01,4.10670309e+00,4.12481302e+00,6.62861763e+00,6.35908551e+00,4.28628248e+00,4.11744151e+00,6.57838953e+00,6.67408218e+00,2.06708896e+00,0.00000000e+00,7.08209940e+02,1.74866386e+01,0.00000000e+00,-3.17158992e-01,-1.34590197e-01
"1997Q3",1.09219867e+05,3.20870693e+01,2.65970512e+01,1.95252518e+01,3.53367540e+01,1.15253000e+03,2.70000000e+01,1.16229110e+04,1.61200000e+02,5.53333333e+00,1.80000000e+01,1.86109231e+01,1.57900000e+02,1.11000000e+00,NaN,NaN,3.21017847e+01,2.67375197e+01,1.95126821e+01,3.53748035e+01,1.16234333e+04,1.81008180e+01,1.57850330e+02,1.16011183e+03,3.46845312e+02,3.28080035e+02,2.97170859e+02,3.56492361e+02,7.04971480e+02,9.36073352e+02,5.08264583e+02,2.92374867e+02,5.06196192e+02,1.04360015e+01,3.46891163e+02,3.28606781e+02,2.97106462e+02,3.56599980e+02,9.36077845e+02,2.89595713e+02,5.06164731e+02,8.66344901e+02,-1.25358537e+01,-2.29104872e+02,-1.82843813e+01,-4.97847008e+01,9.70881763e+00,-6.75638365e-01,4.14260635e+00,1.29366167e+01,1.65921345e+01,1.29366167e+01,1.65921345e+01,1.29366167e+01,1.65921345e+01,1.29366167e+01,1.65921345e+01,2.86998470e+01,9.32392055e+00,4.97208383e+00,4.56786864e+00,2.48911818e+00,2.19513361e+00,2.97504189e+00,-1.08182002e+01,3.30685508e+00,2.11207851e+00,-7.14304696e+00,-1.26751706e+01,1.70684429e+01,1.66429218e+01,1.98589988e+01,1.66601550e+01,1.76993892e+01,1.65780321e+01,1.71638638e+01,1.66338027e+01,5.01798175e+00,4.58529214e+00,-1.68242582e+01,-1.11558016e+01,2.35678873e+00,2.11061246e+00,1.41205223e+01,-5.12386768e+00,7.01071751e+00,1.25906494e+01,-1.21703294e+01,-6.75764689e-01,2.79055596e+00,1.72331648e-02,6.30946355e-01,-6.48897096e-02,9.54209622e-02,-9.11912272e-03,NaN,1.88605405e+01,6.37253814e+00,-3.55885876e+01,1.89893062e+01,6.38674089e+00,-3.56003247e+01,1.03570782e+01,3.33819972e+00,1.20186431e+01,-1.66156491e+00,8.73839666e+02,-7.49476542e+00,-1.42603705e+01,1.72451682e+00,-2.32625714e+02,3.52084217e+00,-1.94124899e+01,1.12810866e+00,9.76346830e+00,-5.46506711e-02,-4.91880201e+01,-5.96680625e-01,3.72762543e+00,-3.89425704e-01,1.15809196e+03,2.41617513e+00,9.36153556e+02,-7.57102281e-02,1.15756301e+03,2.54881256e+00,-6.41129437e-02,3.00659796e-01,4.08267198e+00,4.11108638e+00,6.89219412e+00,6.54381079e+00,4.59865302e+00,4.26325328e+00,6.45409971e+00,6.60319757e+00,1.39882353e+00,0.00000000e+00,7.12604512e+02,1.75782883e+01,0.00000000e+00,-3.34434685e-01,-1.19391138e-01
"1997Q4",1.10345518e+05,3.28555588e+01,2.72340540e+01,1.99928841e+01,3.61830739e+01,1.28471667e+03,2.70000000e+01,1.17227220e+04,1.61800000e+02,5.50666667e+00,1.80000000e+01,1.90231250e+01,1.58700000e+02,1.10000000e+00,NaN,NaN,3.34534583e+01,2.77989837e+01,2.03786267e+01,3.67695812e+01,1.17039784e+04,1.82653528e+01,1.58609004e+02,1.16113718e+03,3.49212095e+02,3.30446818e+02,2.99537642e+02,3.58859144e+02,7.15829348e+02,9.36928429e+02,5.08636100e+02,2.94565534e+02,5.06701563e+02,9.53101798e+00,3.51015517e+02,3.32499946e+02,3.01448664e+02,3.60467090e+02,9.36768410e+02,2.90500598e+02,5.06644208e+02,8.73449932e+02,-1.15229103e+01,-2.27666521e+02,-1.85155707e+01,-4.95668529e+01,9.45157356e+00,4.10141414e+00,4.76520489e+00,9.46713019e+00,1.62839391e+01,9.46713019e+00,1.62839391e+01,9.46713019e+00,1.62839391e+01,9.46713019e+00,1.62839391e+01,4.34314701e+01,2.45633582e+01,3.42030934e+00,4.38990264e+00,1.48606982e+00,1.68280693e+00,8.76266952e+00,-2.12308708e+01,2.02148251e+00,1.52383901e+00,-3.61993421e+00,-1.27833372e+01,1.64974174e+01,1.62612376e+01,1.55726599e+01,1.63635653e+01,1.73688087e+01,1.62933874e+01,1.54684412e+01,1.62275390e+01,2.76225803e+00,4.38338511e+00,3.61953962e+00,-2.07438094e+01,1.91790892e+00,1.53769476e+00,2.84201225e+01,9.98492755e+00,4.05177331e+00,1.26382250e+01,5.75340400e+00,-9.64327919e+00,-9.24757543e-01,1.02327779e-01,8.71391278e-01,3.21498560e-02,-1.02897626e+00,-3.36985910e-02,NaN,1.89925790e+01,6.38259790e+00,-3.55970784e+01,1.89293410e+01,6.39446126e+00,-3.55175916e+01,1.07387624e+01,3.82385974e+00,1.14843328e+01,-7.45570353e-01,8.75633706e+02,-2.18377433e+00,-1.26861764e+01,1.16326603e+00,-2.31356179e+02,3.68965817e+00,-1.94369059e+01,9.21335203e-01,9.67412278e+00,-2.22549212e-01,-4.84083570e+01,-1.15849593e+00,3.59956449e+00,2.24295245e-01,1.15807823e+03,3.75199021e+00,9.37165996e+02,-3.97585684e-01,1.15764249e+03,3.49468695e+00,-5.49325791e-02,2.00876019e-01,4.04975986e+00,4.09044049e+00,7.17615812e+00,6.77641328e+00,5.07814000e+00,4.52120529e+00,6.29677646e+00,6.49873705e+00,7.08610175e-01,0.00000000e+00,7.17013983e+02,1.76378837e+01,0.00000000e+00,-3.57382093e-01,-9.76636973e-02
